letter,page,line_start,line_end,n_lines,image,status,confidence,note
274,1,19469,19496,28,Oe_1_Bu_9454_0499_b-L274_01.jpg,auto,check,
274,2,19498,19525,28,Oe_1_Bu_9454_0500_a1-L274_02.jpg,auto,check,
274,3,19527,19546,20,Oe_1_Bu_9454_0500_a2-L274_03.jpg,auto,check,
275,1,19549,19581,33,Oe_1_Bu_9454_0501_b-L275_01.jpg,auto,check,
276,1,19584,19612,29,Oe_1_Bu_9454_0502_b-L276_01.jpg,auto,check,
276,2,19614,19648,35,Oe_1_Bu_9454_0503_a1-L276_02.jpg,auto,check,
277,1,19651,19678,28,Oe_1_Bu_9454_0503_a2-L277_01.jpg,auto,check,
277,2,19680,19707,28,Oe_1_Bu_9454_0504_a1-L277_02.jpg,auto,check,
278,1,19710,19732,23,Oe_1_Bu_9454_0504_a2-L278_01.jpg,auto,check,
278,2,19734,19755,22,Oe_1_Bu_9454_0505_a1-L278_02.jpg,auto,check,
278,3,19757,19770,14,Oe_1_Bu_9454_0505_a2-L278_03.jpg,auto,check,
279,1,19773,19802,30,Oe_1_Bu_9454_0506_b-L279_01.jpg,auto,check,
279,2,19804,19825,22,Oe_1_Bu_9454_0507_a1-L279_02.jpg,auto,check,
280,1,19828,19857,30,Oe_1_Bu_9454_0507_a2-L280_01.jpg,auto,check,
280,2,19859,19885,27,Oe_1_Bu_9454_0508_a1-L280_02.jpg,auto,check,
280,3,19887,19896,10,Oe_1_Bu_9454_0508_a2-L280_03.jpg,auto,check,
281,1,19899,19922,24,Oe_1_Bu_9454_0509_b-L281_01.jpg,auto,check,
281,2,19924,19955,32,Oe_1_Bu_9454_0510_a1-L281_02.jpg,auto,check,
282,1,19958,19988,31,Oe_1_Bu_9454_0510_a2-L282_01.jpg,auto,check,
282,2,19990,20029,40,Oe_1_Bu_9454_0511_a1-L282_02.jpg,auto,check,
283,1,20032,20043,12,Oe_1_Bu_9454_0512_b-L283_01.jpg,auto,check,
283,2,20045,20054,10,Oe_1_Bu_9454_0513_a1-L283_02.jpg,auto,check,
284,1,20057,20097,41,Oe_1_Bu_9454_0513_a2-L284_01.jpg,auto,check,
284,2,20099,20129,31,Oe_1_Bu_9454_0514_a1-L284_02.jpg,auto,check,
284,3,20131,20162,32,Oe_1_Bu_9454_0514_a2-L284_03.jpg,auto,check,
284,4,20164,20175,12,Oe_1_Bu_9454_0515_a-L284_04.jpg,auto,check,
285,1,20178,20239,62,Oe_1_Bu_9454_0515_b-L285_01.jpg,auto,check,
286,1,20242,20271,30,Oe_1_Bu_9454_0516_a-L286_01.jpg,auto,check,
286,2,20273,20301,29,Oe_1_Bu_9454_0517_a1-L286_02.jpg,auto,check,
286,3,20303,20365,63,Oe_1_Bu_9454_0517_a2-L286_03.jpg,auto,check,
286,4,20367,20386,20,Oe_1_Bu_9454_0518_a2-L286_04.jpg,auto,check,
287,1,20389,20421,33,Oe_1_Bu_9454_0519_b-L287_01.jpg,auto,check,
287,2,20423,20451,29,Oe_1_Bu_9454_0520_a1-L287_02.jpg,auto,check,
287,3,20453,20481,29,Oe_1_Bu_9454_0520_a2-L287_03.jpg,auto,check,
287,4,20483,20524,42,Oe_1_Bu_9454_0521_a-L287_04.jpg,auto,check,
288,1,20527,20556,30,Oe_1_Bu_9454_0521_b-L288_01.jpg,auto,check,
288,2,20558,20587,30,Oe_1_Bu_9454_0522_a1-L288_02.jpg,auto,check,
289,1,20590,20643,54,Oe_1_Bu_9454_0522_a2-L289_01.jpg,auto,check,
289,2,20645,20682,38,Oe_1_Bu_9454_0523_a1-L289_02.jpg,auto,check,
290,1,20685,20713,29,Oe_1_Bu_9454_0523_a2-L290_01.jpg,auto,check,
290,2,20715,20725,11,Oe_1_Bu_9454_0524_a1-L290_02.jpg,auto,check,
291,1,20728,20753,26,Oe_1_Bu_9454_0524_a2-L291_01.jpg,auto,check,
291,2,20755,20780,26,Oe_1_Bu_9454_0525_a1-L291_02.jpg,auto,check,
292,1,20783,20812,30,Oe_1_Bu_9454_0525_a2-L292_01.jpg,auto,check,
292,2,20814,20844,31,Oe_1_Bu_9454_0526_a1-L292_02.jpg,auto,check,
292,3,20846,20874,29,Oe_1_Bu_9454_0526_a2-L292_03.jpg,auto,check,
293,1,20877,20877,1,,gap,check,missing/skipped in the archive - no document to scan
294,1,20880,20900,21,Oe_1_Bu_9454_0527_b-L294_01.jpg,auto,check,
294,2,20902,20916,15,Oe_1_Bu_9454_0528_a1-L294_02.jpg,auto,check,
295,1,20919,20937,19,Oe_1_Bu_9454_0528_a2-L295_01.jpg,auto,check,
295,2,20939,20961,23,Oe_1_Bu_9454_0529_a1-L295_02.jpg,auto,check,
295,3,20963,20977,15,Oe_1_Bu_9454_0529_a2-L295_03.jpg,auto,check,
296,1,20980,21014,35,Oe_1_Bu_9454_0530_b-L296_01.jpg,auto,check,
296,2,21016,21029,14,Oe_1_Bu_9454_0531_b-L296_02.jpg,auto,check,
297,1,21032,21060,29,Oe_1_Bu_9454_0532_b-L297_01.jpg,auto,check,
297,2,21062,21090,29,Oe_1_Bu_9454_0533_a1-L297_02.jpg,auto,check,
297,3,21092,21119,28,Oe_1_Bu_9454_0533_a2-L297_03.jpg,auto,check,
297,4,21121,21157,37,Oe_1_Bu_9454_0534_a-L297_04.jpg,auto,check,
298,1,21160,21185,26,Oe_1_Bu_9454_0534_b-L298_01.jpg,auto,check,
298,2,21187,21212,26,Oe_1_Bu_9454_0535_a1-L298_02.jpg,auto,check,
299,1,21215,21252,38,Oe_1_Bu_9454_0535_a2-L299_01.jpg,auto,check,
299,2,21254,21298,45,Oe_1_Bu_9454_0536_a1-L299_02.jpg,auto,check,
299,3,21300,21330,31,Oe_1_Bu_9454_0536_a2-L299_03.jpg,auto,check,
300,1,21333,21351,19,Oe_1_Bu_9454_0537_b-L300_01.jpg,auto,check,
300,2,21353,21381,29,Oe_1_Bu_9454_0538_a-L300_02.jpg,auto,check,
301,1,21384,21406,23,Oe_1_Bu_9454_0538_b-L301_01.jpg,auto,check,
