name,occurs_in,correct_form
Ruszyno,L223 p2,
Sachsten,L194 p1; L270 p2,
Sachverständigen,L88 p1,
Sanen,L198 p2,
Scharffenbergs,L193 p1,
Scharnewand,L66 p3,
Schimmel,L226 p1,
Schimmelpfennig,L73 p2; L223 p5; L223 p6; L224 p1 (+5 more),
Schleifen,L22 p1,
Schröder,L3 p1,
Schuckman,L108 p1,
Schüler,L273 p1,
Schultz,L78 p1,
Schulze,L78 p2; L81 p1; L81 p2; L83 p1,
Secqebarth,L26 p1,
Secretair,L26 p2,
Seegebarth,L200 p1,
Sobocki,L229 p1,
Solcher,L245 p1,
Spanien,L196 p3; L274 p2; L287 p4,
Spiven,L58 p2,
Staabes,L241 p1,
Stallmeister,L215 p1; L218 p1,
Steger,L228 p1,
Stein,L6 p1; L25 p1; L26 p1; L26 p2 (+18 more),
Stengelin,L15 p3,
Stettinius,L36 p2,
Stocheln,L218 p2,
Stöck,L218 p1,
Stoll,L87 p3,
Strehn,L303 p6,
Stru,L93 p1,
Stumbolt,L247 p1,
Tandel,L182 p2,
Tauenzien,L303 p1,
Teck,L263 p1,
Tesmar,L191 p11,
Teutſchen,L284 p3,
Thaer,L223 p6,
Thorenſchen,L271 p1,
Thule,L16 p1,
Tieten,L77 p1,
Tietz,L31 p2; L34 p1; L191 p7,
Todes,L245 p1,
Trevinitz,L42 p1,
Truben,L50 p1,
Unterpräfecten,L227 p1,
Vesten,L270 p1,
Viedrenrichts,L47 p3,
Voll,L299 p3,
Vorh,L79 p2,
Vorwand,L191 p4,
Wachtmeister,L57 p2,
Weissenfeld,L2 p1,
Weiten,L264 p1,
Weithausen,L73 p1,
Weltzer,L217 p1,
Wennar,L171 p2,
Werner,L134 p2; L135 p1; L135 p2; L135 p3 (+1 more),
Wichtigkeit,L101 p3,
Wieckowski,L72c p1,
Wiesołowski,L174 p3,
Wulffen,L187 p3; L188 p1,
Würde,L141 p2; L205 p3; L217 p4; L259 p2,
Wurt,L244 p1,
Würt,L262 p3,
Wurz,L246 p2,
Zerb,L295 p2,
Zernmieden,L11 p2,
Zichy,L292 p3,
Zimetzkyschen,L303 p7,
Zünger,L287 p2,
Zusagen,L36 p1,
