letter,page,line_start,line_end,n_lines,image,status,confidence,note
1,1,25,39,15,Oe_1_Bu_14526_0002_b-L1_01.jpg,declared,ok,
2,1,42,74,33,Oe_1_Bu_14526_0003_b-L2_01.jpg,declared,ok,
2,2,76,107,32,Oe_1_Bu_14526_0004_a1-L2_02.jpg,declared,ok,
2,3,109,140,32,Oe_1_Bu_14526_0004_a2-L2_03.jpg,declared,ok,
2,4,142,170,29,Oe_1_Bu_14526_0005_a1-L2_04.jpg,declared,ok,
2,5,172,202,31,Oe_1_Bu_14526_0005_a2-L2_05.jpg,declared,ok,
2,6,204,230,27,Oe_1_Bu_14526_0006_a1-L2_06.jpg,declared,ok,
2,7,232,261,30,Oe_1_Bu_14526_0006_a2-L2_07.jpg,declared,ok,
2,8,263,288,26,Oe_1_Bu_14526_0007_a1-L2_08.jpg,declared,ok,
2,9,290,317,28,Oe_1_Bu_14526_0007_a2-L2_09.jpg,declared,ok,
2,10,319,341,23,Oe_1_Bu_14526_0008_a1-L2_10.jpg,declared,ok,
3,1,344,368,25,Oe_1_Bu_14526_0009_b-L3_01.jpg,declared,ok,
3,2,370,392,23,Oe_1_Bu_14526_0010_a1-L3_02.jpg,declared,ok,
3,3,394,418,25,Oe_1_Bu_14526_0010_a2-L3_03.jpg,declared,ok,
3,4,420,443,24,Oe_1_Bu_14526_0011_a1-L3_04.jpg,declared,ok,
3,5,445,467,23,Oe_1_Bu_14526_0011_a2-L3_05.jpg,declared,ok,
3,6,469,491,23,Oe_1_Bu_14526_0012_a1-L3_06.jpg,declared,ok,
3,7,493,514,22,Oe_1_Bu_14526_0012_a2-L3_07.jpg,declared,ok,
3,8,516,543,28,Oe_1_Bu_14526_0013_a1-L3_08.jpg,declared,ok,
3,9,545,568,24,Oe_1_Bu_14526_0013_a2-L3_09.jpg,declared,ok,
3,10,570,595,26,Oe_1_Bu_14526_0014_a1-L3_10.jpg,declared,ok,
3,11,597,601,5,Oe_1_Bu_14526_0014_a2-L3_11.jpg,declared,ok,
4,1,604,637,34,Oe_1_Bu_14526_0015_b-L4_01.jpg,declared,ok,
4,2,639,671,33,Oe_1_Bu_14526_0016_a1-L4_02.jpg,declared,ok,
4,3,673,707,35,Oe_1_Bu_14526_0016_a2-L4_03.jpg,declared,ok,
4,4,709,741,33,Oe_1_Bu_14526_0017_a1-L4_04.jpg,declared,ok,
4,5,743,778,36,Oe_1_Bu_14526_0017_a2-L4_05.jpg,declared,ok,
4,6,780,812,33,Oe_1_Bu_14526_0018_a1-L4_06.jpg,declared,ok,
4,7,814,844,31,Oe_1_Bu_14526_0018_a2-L4_07.jpg,declared,ok,
4,8,846,874,29,Oe_1_Bu_14526_0019_a-L4_08.jpg,declared,ok,
5,1,877,905,29,Oe_1_Bu_14526_0019_b-L5_01.jpg,declared,ok,
5,2,907,936,30,Oe_1_Bu_14526_0020_a1-L5_02.jpg,declared,ok,
5,3,938,968,31,Oe_1_Bu_14526_0020_a2-L5_03.jpg,declared,ok,
5,4,970,999,30,Oe_1_Bu_14526_0021_a1-L5_04.jpg,declared,ok,
5,5,1001,1032,32,Oe_1_Bu_14526_0021_a2-L5_05.jpg,declared,ok,
5,6,1034,1069,36,Oe_1_Bu_14526_0022_a1-L5_06.jpg,declared,ok,
5,7,1071,1106,36,Oe_1_Bu_14526_0022_a2-L5_07.jpg,declared,ok,
5,8,1108,1113,6,Oe_1_Bu_14526_0023_a-L5_08.jpg,declared,ok,
6,1,1116,1136,21,Oe_1_Bu_14526_0023_b-L6_01.jpg,declared,ok,
6,2,1138,1161,24,Oe_1_Bu_14526_0024_a1-L6_02.jpg,declared,ok,
6,3,1163,1186,24,Oe_1_Bu_14526_0024_a2-L6_03.jpg,declared,ok,
6,4,1188,1212,25,Oe_1_Bu_14526_0025_a1-L6_04.jpg,declared,ok,
6,5,1214,1238,25,Oe_1_Bu_14526_0025_a2-L6_05.jpg,declared,ok,
6,6,1240,1265,26,Oe_1_Bu_14526_0026_a1-L6_06.jpg,declared,ok,
6,7,1267,1294,28,Oe_1_Bu_14526_0026_a2-L6_07.jpg,declared,ok,
6,8,1296,1323,28,Oe_1_Bu_14526_0027_a1-L6_08.jpg,declared,ok,
6,9,1325,1353,29,Oe_1_Bu_14526_0027_a2-L6_09.jpg,declared,ok,
6,10,1355,1383,29,Oe_1_Bu_14526_0028_a1-L6_10.jpg,declared,ok,
6,11,1385,1415,31,Oe_1_Bu_14526_0028_a2-L6_11.jpg,declared,ok,
6,12,1417,1445,29,Oe_1_Bu_14526_0029_a1-L6_12.jpg,declared,ok,
6,13,1447,1474,28,Oe_1_Bu_14526_0029_a2-L6_13.jpg,declared,ok,
6,14,1476,1500,25,Oe_1_Bu_14526_0030_a1-L6_14.jpg,declared,ok,
7,1,1503,1530,28,Oe_1_Bu_14526_0031_b-L7_01.jpg,declared,ok,
7,2,1532,1556,25,Oe_1_Bu_14526_0032_a1-L7_02.jpg,declared,ok,
7,3,1558,1582,25,Oe_1_Bu_14526_0032_a2-L7_03.jpg,declared,ok,
7,4,1584,1604,21,Oe_1_Bu_14526_0033_a1-L7_04.jpg,declared,ok,
7,5,1606,1630,25,Oe_1_Bu_14526_0033_a2-L7_05.jpg,declared,ok,
7,6,1632,1652,21,Oe_1_Bu_14526_0034_a1-L7_06.jpg,declared,ok,
7,7,1654,1677,24,Oe_1_Bu_14526_0034_a2-L7_07.jpg,declared,ok,
7,8,1679,1703,25,Oe_1_Bu_14526_0035_a1-L7_08.jpg,declared,ok,
7,9,1705,1725,21,Oe_1_Bu_14526_0035_a2-L7_09.jpg,declared,ok,
7,10,1727,1747,21,Oe_1_Bu_14526_0036_a1-L7_10.jpg,declared,ok,
7,11,1749,1772,24,Oe_1_Bu_14526_0036_a2-L7_11.jpg,declared,ok,
7,12,1774,1779,6,Oe_1_Bu_14526_0037_a-L7_12.jpg,declared,ok,
8,1,1782,1816,35,Oe_1_Bu_14526_0037_b-L8_01.jpg,declared,ok,
8,2,1818,1851,34,Oe_1_Bu_14526_0038_a1-L8_02.jpg,declared,ok,
8,3,1853,1887,35,Oe_1_Bu_14526_0038_a2-L8_03.jpg,declared,ok,
